Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Wilson Ramos,32,45,155,142,13,34,6,0,5,15,0,0,10,31,0.239,0.297,0.387,0.684,88,55,5,2,0,1,0
2,1B,Pete Alonso,25,57,239,208,31,48,6,0,16,35,1,0,24,61,0.231,0.326,0.490,0.817,123,102,4,6,0,1,4
3,2B,Robinson Cano,37,49,182,171,23,54,9,0,10,30,0,0,9,24,0.316,0.352,0.544,0.896,144,93,7,1,0,1,1
4,SS,Amed Rosario,24,46,147,143,20,36,3,1,4,15,0,1,4,34,0.252,0.272,0.371,0.643,76,53,5,0,0,0,0
5,3B,J.D. Davis,27,56,229,190,26,47,9,0,6,19,0,0,31,56,0.247,0.371,0.389,0.761,112,74,8,7,0,1,1
6,LF,Jeff McNeil,28,52,209,183,19,57,14,0,4,23,0,2,20,24,0.311,0.383,0.454,0.836,131,83,3,3,0,3,2
7,CF,Brandon Nimmo,27,55,225,186,33,52,8,3,8,18,1,2,33,43,0.280,0.404,0.484,0.888,146,90,1,6,0,0,0
8,RF,Michael Conforto,27,54,233,202,40,65,12,0,9,31,3,3,24,57,0.322,0.412,0.515,0.927,156,104,6,7,0,0,0
9,DH,Yoenis Céspedes,34,8,34,31,3,5,1,0,2,4,0,0,2,15,0.161,0.235,0.387,0.622,69,12,1,1,0,0,0
10,UT,Dominic Smith,25,50,199,177,27,56,21,1,10,42,0,0,14,45,0.316,0.377,0.616,0.993,169,109,2,5,0,3,0
11,SS,Andres Gimenez,21,49,132,118,22,31,3,2,3,12,8,1,7,28,0.263,0.333,0.398,0.732,102,47,0,6,0,1,0
12,IF,Luis Guillorme,25,29,68,57,6,19,6,0,0,9,2,0,10,17,0.333,0.426,0.439,0.865,141,25,3,0,0,1,0
13,3B,Todd Frazier,34,14,51,49,5,11,2,0,2,5,0,0,1,16,0.224,0.255,0.388,0.643,75,19,1,1,0,0,0
14,CF,Jake Marisnick,29,16,34,33,4,11,3,0,2,5,0,0,1,10,0.333,0.353,0.606,0.959,159,20,0,0,0,0,0
15,C,Robinson Chirinos,36,12,33,32,1,7,2,0,1,5,0,0,1,9,0.219,0.242,0.375,0.617,68,12,2,0,0,0,0
16,C,Tomas Nido,26,7,26,24,4,7,1,0,2,6,0,0,2,6,0.292,0.346,0.583,0.929,152,14,2,0,0,0,0
17,CF,Billy Hamilton,29,17,25,22,4,1,0,0,0,1,3,1,1,3,0.045,0.083,0.045,0.129,-63,1,0,0,1,1,0
18,CF,Guillermo Heredia,29,7,18,17,4,4,0,0,2,3,0,0,1,5,0.235,0.278,0.588,0.866,131,10,0,0,0,0,0
19,2B,Brian Dozier,33,7,16,15,1,2,0,0,0,0,0,0,1,5,0.133,0.188,0.133,0.321,-8,2,1,0,0,0,0
20,C,Ali Sanchez,23,5,10,9,0,1,0,0,0,0,0,0,1,3,0.111,0.200,0.111,0.311,-10,1,2,0,0,0,0
21,OF,Ryan Cordell,28,5,8,8,0,1,0,0,0,0,1,0,0,3,0.125,0.125,0.125,0.250,-30,1,0,0,0,0,0
22,C,Rene Rivera,36,2,4,4,0,1,0,0,0,0,0,0,0,3,0.250,0.250,0.250,0.500,40,1,0,0,0,0,0
23,DH,Eduardo Nunez,33,2,2,2,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,180,1,0,0,0,0,0
